"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
5.344879958E0,-9.075607840E0,-3.553069362E0,-1.115849379E0
5.364767958E0,-9.088535450E0,-3.560243896E0,-9.794309143E-1
5.384655958E0,-9.102110345E0,-3.555122904E0,-8.653360956E-1
5.404543958E0,-9.112984997E0,-3.537680075E0,-8.212385879E-1
5.424434167E0,-9.106739001E0,-3.544487696E0,-8.602441940E-1
5.444322167E0,-9.081076741E0,-3.591698115E0,-9.326419332E-1
5.464210167E0,-9.045211675E0,-3.671872213E0,-9.683184271E-1
5.484098167E0,-9.014747096E0,-3.768885414E0,-8.751883616E-1
5.503986167E0,-8.988241083E0,-3.869894018E0,-6.866992720E-1
5.523874167E0,-8.967443122E0,-3.936312833E0,-5.714286879E-1
5.543762167E0,-8.953425007E0,-3.975909593E0,-5.142382045E-1
5.563650167E0,-8.950953389E0,-3.988642489E0,-4.552656360E-1
5.583538167E0,-8.962509241E0,-3.964140902E0,-4.417014478E-1
5.603426167E0,-8.981408027E0,-3.914800926E0,-4.947046670E-1
5.623314167E0,-9.001436495E0,-3.853766228E0,-5.989368409E-1
5.643202167E0,-9.024157605E0,-3.781740810E0,-7.064714125E-1
5.663090167E0,-9.046040225E0,-3.719876391E0,-7.535216910E-1
5.682978167E0,-9.063405871E0,-3.673583400E0,-7.717196880E-1
5.702866167E0,-9.078812699E0,-3.633353972E0,-7.810064551E-1
5.722754167E0,-9.094289694E0,-3.596788993E0,-7.701269795E-1
5.742642167E0,-9.101284719E0,-3.582647502E0,-7.532275761E-1
5.762530167E0,-9.090638693E0,-3.603882836E0,-7.800051925E-1
5.782418167E0,-9.066911277E0,-3.656388786E0,-8.112125134E-1
5.802306167E0,-9.039122384E0,-3.724644796E0,-8.107966302E-1
5.822194167E0,-9.013461878E0,-3.810175820E0,-6.900385438E-1
5.842082167E0,-8.989399416E0,-3.887140088E0,-5.629507368E-1
5.861970167E0,-8.970512325E0,-3.941625613E0,-4.791458474E-1
5.881858167E0,-8.957954845E0,-3.977177561E0,-4.161730525E-1
5.901745167E0,-8.954709640E0,-3.987873873E0,-3.822893879E-1
5.921633167E0,-8.961469021E0,-3.971123062E0,-3.979314938E-1
5.941521167E0,-8.973537090E0,-3.936898431E0,-4.610356684E-1
5.961409167E0,-8.987250565E0,-3.894512842E0,-5.461035929E-1
5.981297167E0,-9.001276866E0,-3.849415899E0,-6.285762674E-1
6.001185167E0,-9.013763595E0,-3.811664521E0,-6.777632647E-1
6.021073167E0,-9.024430085E0,-3.774957455E0,-7.385444867E-1
6.040961167E0,-9.033417256E0,-3.745898547E0,-7.757100472E-1
6.060849167E0,-9.040958995E0,-3.726695707E0,-7.803415536E-1
6.080737167E0,-9.041903905E0,-3.726902698E0,-7.682997977E-1
6.100625167E0,-9.034546353E0,-3.752241022E0,-7.306079147E-1
6.120513167E0,-9.020797210E0,-3.799370165E0,-6.527672949E-1
6.140401167E0,-9.003480096E0,-3.855012269E0,-5.588721577E-1
6.160289167E0,-8.985578846E0,-3.906333281E0,-4.858409459E-1
6.180177167E0,-8.970128163E0,-3.950757794E0,-4.054388801E-1
6.200065167E0,-8.959796718E0,-3.980078950E0,-3.422440006E-1
6.219953167E0,-8.954732444E0,-3.993782484E0,-3.139943842E-1
6.239841167E0,-8.955370960E0,-3.992642570E0,-3.102223088E-1
6.259729167E0,-8.964124827E0,-3.969335568E0,-3.534655749E-1
6.279617167E0,-8.979495403E0,-3.926362041E0,-4.340935990E-1
6.299505167E0,-9.002572609E0,-3.861724288E0,-5.261691557E-1
6.319393167E0,-9.030662048E0,-3.783013456E0,-6.099425798E-1
6.339281167E0,-9.062058088E0,-3.695163134E0,-6.789454255E-1
6.359169167E0,-9.091149740E0,-3.616302029E0,-7.137708572E-1
6.379057167E0,-9.111338421E0,-3.570119258E0,-6.883848781E-1
6.398945167E0,-9.123741535E0,-3.538187029E0,-6.889503039E-1
6.418833167E0,-9.127808858E0,-3.521702266E0,-7.189204270E-1
6.438718792E0,-9.124988161E0,-3.527489840E0,-7.263013673E-1
6.458606792E0,-9.117598450E0,-3.547592860E0,-7.211764289E-1
6.478494792E0,-9.107258819E0,-3.574909297E0,-7.169030645E-1
6.498382792E0,-9.094466865E0,-3.611606423E0,-6.950352088E-1
6.518270792E0,-9.085386724E0,-3.643974562E0,-6.428962447E-1
6.538158792E0,-9.085351641E0,-3.653667784E0,-5.858294299E-1
6.558046792E0,-9.090925791E0,-3.644214590E0,-5.575611755E-1
6.577934792E0,-9.098373975E0,-3.623051470E0,-5.737569395E-1
6.597822792E0,-9.105936763E0,-3.592280498E0,-6.430622325E-1
6.617710792E0,-9.120877569E0,-3.540373303E0,-7.151643949E-1
6.637598792E0,-9.137680712E0,-3.487023307E0,-7.612856240E-1
6.657486792E0,-9.145659823E0,-3.464057783E0,-7.702850736E-1
6.677374792E0,-9.149579211E0,-3.457385525E0,-7.535240299E-1
6.697262792E0,-9.150705385E0,-3.468465414E0,-6.858935257E-1
6.717150792E0,-9.147946669E0,-3.484050583E0,-6.423276760E-1
6.737038792E0,-9.144940615E0,-3.489159880E0,-6.572230194E-1
6.756926792E0,-9.135466956E0,-3.507369571E0,-6.911900798E-1
6.776814792E0,-9.120351319E0,-3.544176916E0,-7.029218602E-1
6.796702792E0,-9.105388294E0,-3.588545589E0,-6.710769736E-1
6.816590792E0,-9.093949971E0,-3.629274954E0,-6.037761062E-1
6.836478792E0,-9.086563184E0,-3.654793665E0,-5.594067394E-1
6.856366792E0,-9.082464870E0,-3.667907508E0,-5.398085171E-1
6.876254792E0,-9.085227680E0,-3.661539598E0,-5.365082389E-1
6.896142792E0,-9.092640780E0,-3.638880468E0,-5.643744608E-1
6.916030792E0,-9.103000876E0,-3.606799427E0,-6.020585597E-1
6.935918792E0,-9.109197171E0,-3.583262630E0,-6.471807919E-1
6.955806792E0,-9.108872066E0,-3.576765496E0,-6.864876028E-1
6.975694792E0,-9.107703207E0,-3.577942833E0,-6.958365697E-1
6.995582792E0,-9.108820610E0,-3.577532066E0,-6.831929161E-1
7.015470792E0,-9.108684955E0,-3.578904992E0,-6.777992982E-1
7.035358792E0,-9.103320719E0,-3.592891824E0,-6.758640160E-1
7.055246792E0,-9.093423722E0,-3.622198654E0,-6.522639958E-1
7.075134792E0,-9.081194270E0,-3.662465504E0,-5.952721715E-1
7.095022792E0,-9.068065517E0,-3.702454612E0,-5.459784625E-1
7.114910792E0,-9.053498349E0,-3.743765191E0,-5.044718926E-1
7.134798792E0,-9.038668640E0,-3.793035876E0,-3.891506569E-1
7.154686792E0,-9.029274504E0,-3.820061415E0,-3.397721633E-1
7.174574792E0,-9.029024243E0,-3.821130286E0,-3.343699208E-1
7.194462792E0,-9.035335143E0,-3.802229746E0,-3.766561438E-1
7.214350792E0,-9.049981248E0,-3.760782927E0,-4.363896544E-1
7.234238792E0,-9.067287837E0,-3.710795081E0,-5.003981009E-1
7.254126792E0,-9.080931146E0,-3.665464541E0,-5.806638534E-1
7.274014792E0,-9.089946967E0,-3.631857377E0,-6.469766510E-1
7.293902792E0,-9.094140590E0,-3.615552416E0,-6.785944464E-1
7.313790792E0,-9.093877466E0,-3.614550496E0,-6.873962601E-1
7.333678792E0,-9.088099832E0,-3.627502371E0,-6.955232321E-1
7.353566792E0,-9.077493567E0,-3.655879785E0,-6.853563859E-1
7.373454792E0,-9.065397432E0,-3.695736746E0,-6.294343463E-1
7.393342792E0,-9.051351251E0,-3.743291274E0,-5.448858372E-1
7.413230792E0,-9.038621863E0,-3.786425599E0,-4.499043970E-1
7.433118708E0,-9.030319986E0,-3.813735897E0,-3.805806122E-1
7.453006708E0,-9.029507223E0,-3.819792443E0,-3.366147399E-1
7.472894708E0,-9.034148743E0,-3.808029014E0,-3.452348149E-1
7.492782708E0,-9.039641617E0,-3.788500191E0,-4.101625168E-1
7.512670708E0,-9.048790171E0,-3.756506566E0,-4.941008323E-1
7.532558708E0,-9.062803023E0,-3.708842403E0,-5.883917163E-1
7.552446708E0,-9.074598026E0,-3.664285450E0,-6.788197835E-1
7.572334708E0,-9.081015930E0,-3.637589402E0,-7.342846439E-1
7.592222708E0,-9.085369182E0,-3.620624583E0,-7.637123647E-1
7.612110708E0,-9.083985731E0,-3.620260302E0,-7.816684330E-1
7.631999708E0,-9.072629269E0,-3.645340179E0,-7.968517517E-1
7.651887708E0,-9.057132393E0,-3.689773463E0,-7.681419229E-1
7.671775708E0,-9.039821126E0,-3.749379395E0,-6.781514467E-1
