"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.166417750E0,-1.447235458E1,-1.174592422E1,-1.030487091E1
6.186306750E0,-1.848865265E1,-9.978399811E0,-4.592599640E0
6.206196750E0,-2.005215134E1,-9.873168640E0,-1.168051025E1
6.226086750E0,-1.172811127E1,-1.690045532E1,1.093386292E1
6.245976750E0,-5.161566467E0,-1.473011856E1,1.475721222E1
6.265865750E0,-2.731370087E0,-1.593675934E1,5.382806396E0
6.285755750E0,-3.100352783E0,-1.951312225E1,-4.686903534E0
6.305645750E0,-2.640808411E0,-2.248698807E1,-2.863096161E0
6.325534750E0,-2.713856506E-1,-2.015783157E1,2.579885101E0
6.345424750E0,1.264121246E0,-1.482352432E1,4.609215088E0
6.365314750E0,3.828438721E0,-9.994266815E0,4.599036255E0
6.385203750E0,3.368744659E0,-6.195017395E0,3.893403625E0
6.405093750E0,1.849254456E0,-2.740650787E0,4.472998352E0
6.424983750E0,8.044271851E-1,-1.172362061E0,5.420827332E0
6.444872750E0,-6.077362061E-2,5.671705627E-1,4.062701569E0
6.464762750E0,-6.550378418E-1,1.855391693E0,1.909878387E0
6.484652750E0,4.584965515E-1,1.970202942E0,3.292253723E0
6.504541750E0,2.421514435E0,1.357676697E-1,3.960464172E0
6.524431750E0,3.832630005E0,-1.359622650E0,2.904709625E0
6.544321750E0,5.078040161E0,-4.193828888E0,-2.559228058E0
6.564210750E0,6.362369385E0,-9.461225281E0,-1.412178360E1
6.584100750E0,-9.907746735E0,-3.756064224E1,-4.000386154E1
6.603990750E0,-1.332124832E1,-2.426484100E1,-8.063731384E-1
6.623880750E0,-9.245823212E0,-6.982080688E0,-1.356898315E1
6.643769750E0,-6.574178925E0,-2.623743896E0,-9.959239655E0
6.663659750E0,-1.362167358E0,-1.463192276E1,1.027328659E1
6.683549750E0,4.258943481E0,-1.850930969E1,1.248718277E1
6.703438750E0,6.701264648E0,-1.366523300E1,7.274722137E0
6.723328750E0,4.620142365E0,-8.858428802E0,2.805765381E0
6.743218750E0,3.750151520E0,-6.043682098E0,-1.373992767E0
6.763107750E0,2.780617676E0,-6.634204102E0,3.350033569E-1
6.782998208E0,2.086660767E0,-7.960446167E0,2.152523804E0
6.802888208E0,2.995271301E-1,-1.056128769E1,4.079167328E0
6.822777208E0,-2.794089661E0,-1.390233994E1,5.940546570E0
6.842667208E0,-5.397775269E0,-1.430126038E1,6.462960205E0
6.862557208E0,-5.544919281E0,-1.088581284E1,4.801565094E0
6.882447208E0,-5.135221252E0,-7.158414001E0,1.504072266E0
